,game_id,year,season,speaker,receiver,message,receiver_annotation,sender_annotation,score_delta
17,1,1901,Fall,germany,italy,"I was not informed of it, no. And England is leading me to believe it's part of a play for Belgium, so if they're working together this might be a trick...

Italy, you seem like a straight shooter, and Austria has confirmed with me about your two's alliance. So I'll confide in you--this is my first ever game of diplomacy, and I think that teaming up with the two of you could help me learn more and have more fun. So, if you're still interested in a central powers alliance, I'm in.",True,True,0
18,1,1901,Fall,germany,italy,"Okay full disclosure: I'm not very smart, and I accidentally let slip to England that you told me France was plotting to take Munich. I'm sorry for the error but I figured it was better to admit it so you know that England/France may not trust you.",True,True,0
19,1,1901,Fall,italy,germany,"Okay, thanks for telling me.",True,True,0
20,1,1901,Winter,germany,italy,"So, um, no alliance then?",True,True,1
21,1,1901,Winter,italy,germany,"I do want to be allies. Sorry, busy weekend here running around with bambinos. More to come.",True,True,-1
22,1,1901,Winter,germany,italy,What would you think of helping me take Marseilles in two turns?,True,True,1
23,1,1901,Winter,italy,germany,"Hi Germany, I’ll certainly consider that. Though, I’ll note: traditionally, Germany would help Italy to Marseilles if the two of them work together there. The reason is that: if I help you to Marseilles, I’m basically cut off from going west and getting anything myself. So, usually, Germany would help Italy into Marseilles to encourage Italy to come west and Germany would plan to take Paris, Belgium and Brest.",True,True,-1
24,1,1901,Winter,germany,italy,"Fair enough--I'll help you take it, then, but I'll need to deal with Belgium first.",True,True,1
25,1,1901,Winter,italy,germany,How are things going with England? I think that getting him to work with you is the main key here.,True,True,-1
26,1,1902,Spring,germany,italy,I'm trying--I just offered to assist with taking Sweden in exchange for some assistance into Belgium...not sure if they'll go for it...,True,True,1
27,1,1902,Spring,italy,germany,I’ll check with England and try to see where his head is at.,True,True,-1
28,1,1902,Spring,germany,italy,I've actually been thinking about this game all day 😅  and have come up with a plan I like a bit better... but England still hasn't responded to my initial offer.,NOANNOTATION,True,1
29,1,1902,Spring,italy,germany,"That’s the worst!

And I’m glad to see you’re so focused on this in your first game. It’s a really great game if you put in the time and effort!",True,True,-1
30,1,1902,Spring,germany,italy,You're definitely telling the truth on that one. So can I count on you to move to piedmont this season?,True,True,1
31,1,1902,Spring,italy,germany,"I don’t think I can afford to move to Piedmont this season. I don’t really trust Austria to avoid walking through that door if I leave it wide open. 

I think you need to get England on board to attack France.",True,True,-1
32,1,1902,Spring,germany,italy,"That's valid. And actually I was conferring with England and we concluded that it's not really gonna be possible for me to help you take Marseilles this year anyway. 

...what are you and Austria planning for this year, then? I'm willing to tell you my plans in exchange as a gesture of trust. 

Have you communicated at all with England or France?",True,True,1
33,1,1902,Spring,italy,germany,"Hi, are you there?

Just woke up. 

England did return my message, but he did not tell me anything substantive so I really don’t know what he’s doing. I’m planning to move towards Turkey.",True,True,-1
34,1,1902,Spring,italy,germany,"Well, you’re in trouble. That England move is trouble. 

I’m going to try to convince him to change course. I suggest you be very kind to him, and don’t burn that bridge. I think your game hinges on turning England around.",True,True,-1
35,1,1902,Fall,italy,germany,"Hi Germany,

I’m working hard on turning England. And I’m also trying to get Russia to come to your aid. Doing the best I can! I’ll keep you posted.",True,True,-1
36,1,1902,Fall,germany,italy,"England just told me that Russia is helping them to take Denmark so that may be a lost cause. Granted, the source for that intel is a serpentine jackal-spawn",True,True,1
37,1,1903,Spring,italy,germany,"Okay, I’m reasonably sure that England wants to take the Channel and attack France now. 

I believe that you should basically do whatever England asks to help make this happen. As long as E attacks F, you will be in a much better position, and you’ll gain back centers quickly. 

What are you hearing?",True,True,1
38,1,1903,Fall,germany,italy,"What are your plans for this turn? I can't help but notice that Munich is surrounded by foreign armies on three sides...

I wish I could be more helpful but I'm pretty much just treading water right now trying not to lose anything else",True,True,-1
39,1,1903,Fall,italy,germany,"Hey — sorry, just getting back into this now.",True,True,1
40,1,1903,Fall,italy,germany,"I have good news! (1) I am finally attacking France this turn. (2) I will be supporting Munich to hold from Tyrolia. 

Let’s turn this game around, yes?",True,True,1
41,1,1903,Fall,italy,germany,I am pretty sure that England is not attacking you this turn. And I am committed to supporting Munich holding. Make sure you don’t move Munich so that it can take my support.,True,True,1
42,1,1903,Fall,germany,italy,"Okay, can do. Thanks!",True,True,-1
43,1,1903,Fall,italy,germany,"I suggest that you order:
Kiel Support Berlin holding
Berlin Support Munich holding
Helg to Holland
Munich Support Berlin holding",True,True,1
44,1,1903,Fall,germany,italy,I agree completely--although I didn't know that a country could hold *and* support at the same time! Thanks!,True,True,-1
45,1,1903,Fall,germany,italy,Thanks Italy. Hope you're enjoying the weather on the Anatolian 😉,True,True,-1
46,1,1904,Spring,italy,germany,I will be supporting Munich to hold again. And I’ll be trying to get Russia to back off your flank and protect himself against an Austrian stab that is coming.,NOANNOTATION,True,2
47,1,1904,Spring,italy,germany,"Two bits of advice: #1 I suggest you tell Russia that Austria is coming for him. You really want Russia to move Sil back to Gal. You might also suggest to Russia that is he supports you to Denmark, you will then support Russia back to Sweden. I don’t know yet if it actually makes sense to do that, but you want Russia thinking that you are eager to work with him. He’ll be hoping for a reason to break off his attack on you at this point.",NOANNOTATION,True,2
48,1,1904,Spring,italy,germany,"#2 Here is the move set I would suggest right now:
Kiel Support Holland holding
Holland Support Wales to Belgium (tell England you are going to order this support and he can take it or leave it)
Munich Support Berlin holding
Berlin Support Munich holding

I think that both France and Russia are about to back off you, as they are both under fire at home. Just hold still, and soon you should be able to break out of this holding pattern.",NOANNOTATION,True,2
49,1,1904,Spring,germany,italy,"God, I hope so! I'm attempting to make that deal with russia now...and I'm talking with England re: Belgium",True,True,-2
50,1,1904,Spring,italy,germany,"It’s none of my business, but if you do plan to take Denmark, I strongly recommend you wait until Fall. I think the most important thing for you right now is getting England fully committed against France. If that happens, taking Denmark later will be easy.",True,True,2
51,1,1904,Spring,germany,italy,"I think me and England are really on the same page at this point regarding France. I'm actually sort of running counter-intelligence for England (and my friends to the south, of course!) with Russia right now. 

England and I talked about Denmark too...and it seems like one or the other of Denmark or Belgium should work out for me this year and I'm fine with that",True,True,-2
52,1,1904,Spring,italy,germany,Great to hear. Thank you.,True,True,2
53,1,1904,Fall,germany,italy,"Do you need me to disrupt Bur this year? I'll need to seriously trust Russia if I'm going to risk not holding my eastern front, I think...",True,True,-2
54,1,1904,Fall,italy,germany,"I do think a move to Burgundy makes sense for you this turn, and I can’t imagine Russia attacking you here. He has a serious Austria problem. 

I suggest this:
Mun - Bur
Ruh - Bel
Hol Support Ruh - Bel 
Ber - Kie

Tell Russia that the last thing in the world you want to see is Austria run him over, and you’re willing to help keep Russia viable if necessary (you’re angling for Russia to disband his northern holdings this turn).",True,True,2
55,1,1904,Fall,italy,germany,"And ask England nicely to support Ruh - Hol, with the explanation that you don’t plan to ask for Denmark back, but you think it would help you both to diminish France. (You’ll get Den back eventually, but you want England to think you don’t care about it).",True,True,2
56,1,1904,Fall,germany,italy,"Thanks, I'll work on these. 
...Why didn't you scooch into the Aegean behind Austria? You could have defended or even held Bulgaria this turn?",True,True,-2
57,1,1904,Fall,germany,italy,"England and I were talking about your moves for this season--what do you think of convoying Pie into Spa, supporting this with Wes, and then moving Tyr into Pie?",True,True,-2
58,1,1904,Fall,germany,italy,"This leaves Marseilles open for Bur to fall into if France goes that route, which gives me an opening into Bur",True,True,-2
59,1,1904,Fall,italy,germany,That’s not bad.,True,True,2
60,1,1904,Fall,italy,germany,I was kind of thinking I should pick one or the other of Marseilles or Spain to attack and not tell a soul which one I’m going after.,True,True,2
61,1,1904,Fall,italy,germany,Do you really think it’s important to coordinate?,True,True,2
62,1,1904,Fall,italy,germany,I do think you’re best off moving to Burgundy. And there is some chance that we fail this turn. But I think we just take a guess and hope for the best. We’ll get him next turn if not this one.,True,True,2
63,1,1904,Fall,germany,italy,Okay—sorry for being nosy! I will try for bur on the off chance it shakes out that way,True,True,-2
64,1,1904,Fall,italy,germany,"Nah, you’re not being nosy at all. I mean, come on, we both know that I have no problem sticking my nose where it doesn’t belong.",True,True,2
65,1,1904,Fall,germany,italy,Marked as true,True,True,-2
66,1,1904,Fall,italy,germany,"I like to coordinate, but on these sort of 50/50 guesses, I kind of like to keep it secret so that if it doesn’t go well, I have nobody to blame but myself.",True,True,2
67,1,1904,Fall,italy,germany,Ha!,True,True,2
68,1,1904,Fall,germany,italy,"Well, are you willing to humor my question about the Aegean, anyway?",True,True,-2
69,1,1904,Fall,italy,germany,"Sure. I was thinking of moving that fleet to Ionian. You think a move to Aegean is better? I’m not really sure, but let’s talk it through.",True,True,2
70,1,1904,Fall,germany,italy,"No sorry I meant in hindsight--like this past turn you should have moved to Aeg so that this current turn, when Austria takes Rumania (from Bulgaria), you'd be there to cover Bulgaria so it couldn't get scooped by the Black sea, and potentially you'd just get to take it.",True,True,-2
71,1,1904,Fall,italy,germany,Not a bad point. I agree.,True,True,2
72,1,1904,Winter,italy,germany,"Hmmmm, kind of a pointless lie if you ask me, but I won’t hold it against you. You’re in a tough spot.",True,True,2
73,1,1904,Winter,germany,italy,um what lie? I did exactly the moves you suggested!,True,True,-2
74,1,1904,Winter,italy,germany,Ha! So sorry!! I meant that for France!,True,True,2
75,1,1904,Winter,italy,germany,You are my favorite.,False,True,2
76,1,1904,Winter,germany,italy,"Marked as lie because clearly austria is your favorite.
Speaking of, I assume that your seizing Trieste was mutually agreed upon?",True,True,-2
77,1,1904,Winter,italy,germany,Yes — agreed upon.,True,True,2
78,1,1904,Winter,germany,italy,That's not what Austria said to England...,True,True,-2
79,1,1904,Winter,italy,germany,"Hmmmm, okay. Well, let’s just keep that between you and me then. 🤦‍♂️",True,True,2
80,1,1904,Winter,germany,italy,"You know italy, I think we *do* need to coordinate your move this time--England and I have a shot at either Bur or Mao if one of Marseilles or Spain can be left open for France to fall into. This will improve all of our chances of crushing France quickly.",True,True,-2
81,1,1904,Winter,italy,germany,"Okay, I can dig it. What do you want me to do?",True,True,2
82,1,1904,Winter,germany,italy,Let me confer with England and get back to you. Glad to hear that though!,True,True,-2
83,1,1905,Spring,italy,germany,So...any thoughts on how to approach this?,True,True,2
84,1,1905,Spring,germany,italy,"It looks like England's not willing to try for MAO if it means possibly losing the channel. However, they'll bring the NWG fleet around to try for MAO next year. 
So if you could keep Marseilles open, it will help me to try and take Burgundy this turn.",True,True,-2
85,1,1905,Spring,italy,germany,"If I leave Marseilles open, would you kindly use Burgundy in the Fall to help me take Marseilles? (Likely that means ordering Burgundy to Gascony to cut support)",True,True,2
86,1,1905,Spring,germany,italy,Will do.,True,True,-2
87,1,1905,Spring,germany,italy,"Okay, so I still have a teensy little bone to pick with you: on the off-chance that Austria wasn't lying and you *did* take Trieste unexpectedly, I sort of worry that I might be next. Are you willing to tell me what your plans are for the Tri unit, or at least to warn me before any move into Tyrolia?",True,True,-2
88,1,1905,Spring,italy,germany,"Sure. But, you’ll see from my moves this turn that Austria is lying to you.",True,True,2
89,1,1905,Spring,italy,germany,I currently have Tri - Tyrolia. I like the unit there because it sets up an attack on Austria if I ever want to go that route (build A Ven and go east). Do you want me to keep Tyrolia clear?,True,True,2
90,1,1905,Spring,italy,germany,I’ll add — I would never attack Germany as Italy. Setting myself as a giant column like that is just not defensible. It would be a terrible move.,True,True,2
91,1,1905,Spring,germany,italy,Not when that column is not-so-giant and in a turf war with France.,True,True,-2
92,1,1905,Spring,germany,italy,oh you mean setting *yourself*,True,True,-2
93,1,1905,Spring,germany,italy,"But you could easily pick off, say, Munich and not be a ""giant column""",True,True,-2
94,1,1905,Spring,italy,germany,"I mean this sincerely: any Germany who does that is a terrible player. 

Why would I do that? I would need 2-3 units to hold one center. That is a net negative. And all of your units are doing things that are good for me in containing your neighbors. 

I’ve been working hard in this game for you to succeed and knock back France and England. I can say with 100% certainty: I’m not going to attack you. I’m going to keep helping you as much as I can.",True,True,2
95,1,1905,Spring,italy,germany,"That said, if you want me NOT to move to Tyrolia, I won’t move there.",True,True,2
96,1,1905,Spring,germany,italy,"Nah, I just needed some reassurance :)
Your logic is undenyable— enjoy your stay in tyr!",True,True,-2
97,1,1905,Spring,germany,italy,*undeniable? That looks better,True,True,-2
98,1,1905,Spring,italy,germany,"I mean it sincerely. I think that England will want to coax me to attack you with him after France falls, but I’d much rather work with you against England. 

But first thing’s first — let’s get rid of France.",True,True,2
99,1,1905,Spring,germany,italy,Agreed,True,True,-2
100,1,1905,Spring,germany,italy,(On the france part),True,True,-2
101,1,1905,Fall,germany,italy,Sorry I won't be able to cut off Gascony this turn...I probably should have just told you my moves; you could have advised me that supporting Mun-Bur was more important than Kie-Ruh,True,True,-2
102,1,1905,Fall,italy,germany,"No worries. We’ll crack this but eventually. 

Here is my suggestion for this turn:
Kie - Den
Hol S Bel holding
Bel S Ruh - Bur
Mun S Ruh - Bur
Ruh - Bur",True,True,2
103,1,1905,Fall,italy,germany,"I think you should suggest to England that he gets Sweden and St Petersburg, while you get Denmark back. That’s only fair, as you have been a loyal ally in the fight against France and you plan to continue to do that.",True,True,2
104,1,1905,Fall,germany,italy,"The moves I had already planned differ in one respect: I thought it would be worth the risk to try moving Hol-Bel and therefore move Bel-Bur. Even if me and France are high-fiving in Bel for a few seasons it's still mine, and it's not like Holland has anything better to do while I'm still allies with England.

...The only reason I'm reluctant to make that agreement with England is that---while I think *you* and I have a good relationship---I really have not talked with Austria much at all, and I'm the next logical target for them when Russia's gone. And anything that's bad for Russia right now is good for Austria.",True,True,-2
105,1,1905,Fall,italy,germany,"Hmmmm, I’m just not sure you should trust England enough right now to leave Holland open and Belgium essentially unguarded. 

France is a really good player, and he is no doubt working hard to get England to turn on you. My personal take is that you are better off being a bit more conservative until you have Denmark back and England has moved another fleet towards France. But I can see it either way.",True,True,2
106,1,1905,Fall,italy,germany,"With regard to Russia, talk it through with England. What you don’t want is England taking out Russia and giving you nothing. So, if England agrees to let Russia be for a while, then your plan sounds good. But if England is going to take Sweden, you really should get Denmark back. (I’m my view)",True,True,2
107,1,1905,Fall,germany,italy,"Okay you've convinced me: it's worth figuring out what E's plans are for Russia at least.

And you're almost certainly right, from a rational perspective, about leaving Holland/Belgium vulnerable to England. But I think England really is counting on my assistance in taking France, and because of that and other non-quantifiable reasons I trust them.",True,True,-2
108,1,1905,Fall,italy,germany,"Excellent. Obviously you have a much better feel for your relationship with England than I do. Just know that France is persuasive, and I’m sure that’s what he’s working on. He stopped talking to me, so I bet he’s trying to turn England. Just keep reassuring England that you want to work with him long-term so he doesn’t succumb to the Dark Side.",True,True,2
109,1,1905,Winter,italy,germany,"Hi Germany — well, I think we’re getting to a critical point in the game here. France held out a long time, but he’s much less of a threat now. I think the critical issue, for you, is England. 

I have some thoughts on the matter, and some information, but I’d like to feel confident that you and I will keep anything we say between us. I think of you as the one person who has been honest with me on every turn. You even tell me the truth when it’s bad news, or when you don’t completely trust me, and I like that.",True,True,3
110,1,1905,Winter,germany,italy,"Okay, Italy. I won't share any of this conversation. But in the interest of continued full disclosure, here's what I think: England is a greater threat to *me* on the map, but *you* have a greater chance of soloing this game quickly, or pair-winning with Austria even sooner. And if I continue to collaborate with England, we at least have a chance of slowing that down. So I'm in sort of a conflicted spot",True,True,-3
111,1,1905,Winter,italy,germany,This is why I like you. The full disclosure part. You tell me the truth even when the news isn’t great.,True,True,3
112,1,1905,Winter,italy,germany,"My thoughts on the “Germany/England forever so that at least we can stop the solo” strategy: (1) It’s quite early to be talking about solos. I am at 8, and Austria could take 3 from me any time, quite easily. (2) I don’t think England is thinking that way. I think he’s thinking that a dominant power will emerge in the north, and one will emerge in the south. And he’s like to be that dominant power.",True,True,3
113,1,1905,Winter,italy,germany,"England’s pieces are not positioned well if he’s trying to attack France or contain Italy. He keeps Denmark guarded, and North Sea filled. He is not playing like he intends to stick with you, even though I’m sure he’s telling you that.",True,True,3
114,1,1905,Winter,italy,germany,"You’re right that you don’t want to start a war with England right now. But, you must stick up for yourself, because nobody else will do that if you don’t.",True,True,3
115,1,1905,Winter,italy,germany,"If I were you, this is what I would do: (1) keep warning England about the dangers of Italy getting too big and insist that England moves his fleets towards MAO (Channel to Irish, Norwegian to NAO, North - Channel), (2) insist on taking Denmark back.",True,True,3
116,1,1905,Winter,italy,germany,"I would say something like this:

England, I’m with you my friend, but we’re passed the stage of you needing to keep me under lock and key. I need to take Denmark back. I’m happy to support you to Brest to keep you growing, or you can grab Sweden. You have plenty of options other than keeping your ally’s center, but if you really want to be my ally long-term, you’ve got to show me that.",True,True,3
117,1,1905,Winter,italy,germany,I am hearing from England signs that he may be thinking of attacking you soon. And I think you actually avoid that better by being strong and sticking up for yourself rather than being accommodating and letting him do whatever he wants to do.,True,True,3
118,1,1905,Winter,germany,italy,"Well, both you and France have now pointed out that England is strategically not in a good place to be my ally right now, and you are correct. I'll be more cautious with my northern border, but I made a pretty strong argument for denmark this past turn and it fell on deaf ears",True,True,-3
119,1,1905,Winter,germany,italy,...which probably also should have been a sign for me,True,True,-3
120,1,1905,Winter,italy,germany,"Well, if you want, you could just take Denmark this next year and I don’t think England is in a position to retaliate.",True,True,3
121,1,1906,Spring,germany,italy,Probably not...has France been talking with you at all about their sunsetting strategy? They've indicated a willingness to work with you and me and a desire to see England get as few dots as possible,True,True,-3
122,1,1906,Spring,italy,germany,"He did say that to me too. Though, France has a long history of lying to me, so I really don’t trust him.",True,True,3
123,1,1906,Spring,germany,italy,"Well France has actually been pretty honest with me, and I at least am certain that they wouldn't betray me to England. So, I'm considering working with F to sabotage (or potentially full-on backstab) England this turn, which would have the side-effect of maybe taking some attention away from the south for you anyway.",True,True,-3
124,1,1906,Spring,germany,italy,(and I'd be interested to hear your thoughts on this if you're in the mood to give out free advice),True,True,-3
125,1,1906,Spring,italy,germany,"Hi Germany — sorry for the delay. Well...I think it’s really important that you get a build this turn either way. I don’t think England will get a build this turn, so if I were you I’d probably take Paris, build a fleet, and move on England after that.",True,True,3
126,1,1906,Spring,italy,germany,"But it likely depends on how communication is going with England. If he’ll give you back Denmark, that might change the equation.",True,True,3
127,1,1906,Spring,germany,italy,I am waiting on England to make a decision about that--they claim to be thinking about it.,True,True,-3
128,1,1906,Spring,germany,italy,England told me you said I was plotting with France. It makes sense you’d want to pit us against each other.,True,True,-3
129,1,1906,Spring,italy,germany,Hey — tried to send you a message earlier but not was down. England was telling me that you’re saying that I told you that England is plotting against you. The problem with telling England that is that he will stop giving me useful info.,True,True,3
130,1,1906,Spring,italy,germany,"Truly, I don’t want you and England to fight. I am not trying to break you up. I suggested that you take Paris! I want you guys to work together with me against France.",True,True,3
131,1,1906,Spring,germany,italy,"You don't want us to fight, yet you betrayed both of our confidence with you in a way that makes us distrust each other?",True,True,-3
132,1,1906,Spring,italy,germany,I really don’t think that’s a fair description. You guys both wanted to attack each other. I encouraged you both to keep working together.,True,False,3
133,1,1906,Spring,germany,italy,Just as long as it suits you. Are you going to give England Mao?,True,True,-3
134,1,1906,Spring,italy,germany,"Hmmm, should I be reading that as angry sarcastic with dagger eyes? (I’m not sure if I’m getting your tone right)",True,True,3
135,1,1906,Spring,italy,germany,"We’re friends, right? I believe that every single message I’ve sent you all game has been truth, and I’ve gone out of my way to give you candid advice. Are we still friends?",True,False,3
136,1,1906,Spring,italy,germany,Regarding MAO — I don’t know. What do you want me to do? I don’t have any set plan.,True,True,3
137,1,1906,Spring,germany,italy,"Yep, there's some sarcasm there. Looking back at your messages, I still don't read them as encouraging collaboration. And if you wanted us to be friends, you could have done that without betraying me to England by simply saying in your candid way ""I don't think you should do that for such and such reason"". But you chose to increase E's distrust of me. So I think you might be full of gnocchi and crap. 

My trust in you is a bit shaken but I still think we can have a working partnership with a bit more caution on my end. It would be my preference that you hold Mao, on the assumption that if it came down to a choice between partnering with me or England, you'd choose me. If that's not the case, then as the filling of an England-Italy sandwich I'm in no position to retaliate anyway.",True,True,-3
138,1,1906,Fall,italy,germany,"Well, again, I like that you’re honest with me, even when the news is bad.",True,True,3
139,1,1906,Fall,italy,germany,"I have to say that I’m surprised that you feel that I’ve betrayed your trust. I have been feeling like maybe I’ve been TOO helpful to you, and been a bit over the top in offering advice, etc., but it seems like I’ve misread the situation.",True,False,3
140,1,1906,Fall,germany,italy,"No, it's completely true that you've been too helpful, and I'm really really grateful for it because I've been able to learn so much from this game. But it's also true that you didn't have to tell England what you did, and all you stood to gain from it was that it shook my and E's trust in each other.",True,True,-3
141,1,1906,Fall,italy,germany,"But I understand what you’re saying, and I much prefer to have a heart to heart like this, a frank airing of grievances, rather than being surprised by unkind moves on the board. https://youtu.be/xoirV6BbjOg",True,True,3
142,1,1906,Fall,germany,italy,Was not expecting seinfeld today and it was a pleasant surprise,True,True,-3
143,1,1906,Fall,italy,germany,🤗,True,True,3
144,1,1906,Fall,italy,germany,Here’s the deal: I like you better than England.,True,False,3
145,1,1906,Fall,italy,germany,"I’m not sure how the next couple of turns are going to shake out. But I like that you tell me when you’re angry with me. I know that may seem like a small thing, but it’s just rare in Diplomacy. You get so many fake smiles.",True,True,3
146,1,1906,Fall,italy,germany,"So, if it comes down to you or him, I’m choosing you. And I’ll work to do a better job of keeping your confidence. I certainly understand how important that is, as I hate it when people o that same thing to me.",True,True,3
147,1,1906,Fall,italy,germany,So no more playing mediator for me.,True,True,3
148,1,1906,Fall,germany,italy,Okay. Is it true that you want the channel?,True,True,-3
149,1,1906,Fall,germany,italy,And are you planning to keep Vienna?,True,True,-3
150,1,1906,Fall,italy,germany,I am not planning to keep Vienna. And yeah I’ve asked France for support to the Channel. Do you think he’s on board?,True,True,3
151,1,1906,Fall,germany,italy,I'm not sure. Is *England* on board? Is this something England can know about?,NOANNOTATION,True,-3
152,1,1906,Fall,italy,germany,"No, do you think France will Support me to the Channel?",True,True,3
153,1,1906,Fall,germany,italy,"France has asked my opinion on it, and I haven't given it yet. To my estimation things look a lot better for me if you don't end up there: I don't want to see England in Mao, and I don't want to see you snagging pieces of the north.",True,True,-3
154,1,1906,Fall,italy,germany,"Okay, well, here is my thinking. Tell France whatever you want to make him happy. Then tell me how you really feel. And if you don’t want me to go there, I won’t go there.",True,True,3
155,1,1906,Fall,germany,italy,"If I hadn't asked you about it, would that have just been another surprise, too?",True,True,-3
156,1,1906,Fall,italy,germany,"Absolutely. 

You and I have discussed our moves and been honest with each other every turn. But we have not been sharing all our moves or pre-clearing all of our moves. So that would have Ben a surprise in the same way that your moves are a surprise to me. (I never tell you what to do or insist on knowing).",True,True,3
157,1,1906,Fall,italy,germany,"I kind of thought that you would have wanted me in the Channel because it commits me further against England, but I can understand what you’re saying now about wanting me to hang back.",True,True,3
158,1,1906,Fall,italy,germany,"But I don’t think there is anything wrong with me contemplating moves without telling you all of them. You asked me about it, and I told you the truth.",True,False,3
159,1,1906,Fall,germany,italy,"I do think that this move is a breach of general expectation, which is the kind of thing I'd like to know about. And it's also the kind of thing I've shared with you: case in point, my desire to stab England.",True,True,-3
160,1,1906,Fall,italy,germany,Okay. Understood.,True,True,3
161,1,1906,Fall,germany,italy,"Is there anything I could gain from seeing you in the channel? Would you support me taking Nth, and potentially seizing the island?",True,True,-3
162,1,1906,Fall,germany,italy,"Here's what I'm thinking: I would be on board with you taking the channel (and I'd give France the green light to go ahead with it) if you would agree to bump Nao out of Mao using Wes, and if you'd be open to supporting some anti-English aggression while holding the channel so that I can get on equal footing with you, dot-wise.

If you don't want to agree to those terms, that's okay, but I would strongly prefer not to see you in the channel in that case.",True,True,-3
163,1,1906,Fall,italy,germany,"I’m going to be out of pocket this weekend, so let’s talk this through more on Monday. Generally, I agree that I’ll either stay out of the Channel or agree to your terms for entering there.",True,True,3
164,1,1906,Fall,germany,italy,"If you decide to stay out of the channel, I have a deal that I like with England in the works. For that deal to go through, you'd have to agree to move Mao into Portugal to let England take Mao. Would you be amenable to that?",True,True,-3
165,1,1906,Fall,germany,italy,"(If this second offer is more to think about than a no-brainer, you can just mull it over and let me know monday)",True,True,-3
166,1,1906,Fall,italy,germany,"So, here is my concern with the England offer: If I’m taking Portugal, why do we want England in MAO? And why would he want to go to MAO? I’m not sure I understand that one. Can you explain?",True,True,3
167,1,1906,Fall,germany,italy,"Well, when I initially proposed the deal I had forgotten that Portugal was promised to England. Then England agreed to it on the condition that you would confirm that move, so I figured E thought you would just move out of there next year? But now that I think about it, it’s probably worth asking England why they’d agree to that.",True,True,-3
